t,a
8.611917973,-0.249023438
8.617451668,-0.245361328
8.622988224,-0.258789063
8.628535509,-0.248046875
8.634064198,-0.195556641
8.639602661,-0.146240234
8.645137548,-0.123779297
8.650676489,-0.043457031
8.656221867,-0.031738281
8.661756277,-0.053222656
8.667314291,-0.064697266
8.672877789,-0.196044922
8.678445578,-0.26171875
8.684198141,-0.294677734
8.689749718,-0.260009766
8.695258856,-0.236572266
8.700770855,-0.131347656
8.706280708,-0.009277344
8.711789846,0.125244141
8.717354059,0.227050781
8.722866774,0.287353516
8.728372097,0.333007813
8.733874559,0.240966797
8.739385128,0.104248047
8.744896173,-0.034667969
8.750402927,-0.139648438
8.755906105,-0.223144531
8.761497736,-0.450195313
8.767020226,-0.460449219
8.77256012,-0.570800781
8.77808857,-0.608642578
8.783590078,-0.611816406
8.789284468,-0.594238281
8.79479599,-0.475585938
8.800320148,-0.511474609
8.805831909,-0.490478516
8.811341286,-0.519042969
8.816848278,-0.568115234
8.822366476,-0.610839844
8.827876806,-0.715087891
8.83338213,-0.8125
8.838951826,-0.905029297
8.844471693,-0.975585938
8.849979639,-1.054199219
8.855484724,-1.043701172
8.861069441,-1.030029297
8.866951466,-0.964599609
8.872488976,-0.911865234
